мэӈӄо етгъи чаёпԓыткогъат ынӄо эквэтгъэт пыкиргъэт ԓыгэн	 м э ӈ _  ӄ о _ е т _  г ъ _ и _ ч а _ ё _  п ԓ ы т к о _  г ъ а _  т _ ы н ӄ о _ э к в э т _  г ъ э _ т _ п ы к и р _ гъэ _ т _ ԓ ы г э н _ 
эвыр йъонэн тъытԓьэн эчги	 э в ы р _ й ъ о _ нэ _ н _ т ъ ы т ԓ ь э _ н _ э ч г и _ 
вуԓӄытвигъи ынраӄ эԓьоткомгой коԓё	 в у ԓ ӄ ы _ тви _  г ъ _ и _ ы н р а _ ӄ _ э _  ԓ ь о _  т к о _  м г о й _ к о ԓ ё _ 
аны ныԓгикэԓьэткуԓьэтӄин чама ԓыгэн ныԓгэярарпэгԓяръоӄэн наӄам тъытԓьэн ыныкгиӈкы нинэнтыӄин эргатык ԓыгинъэ кыеквъи эӈэӈыԓьын	 а н ы _ н ы _  ԓ г и _  к э _  ԓ ь э т к у _  ԓ ь э т _ ӄин _ ч а м а _ ԓ ы г э н _ н ы _  ԓ г э _  я р а _  р п э г ԓ я _  р ъ о _  ӄ э н _ н а ӄ а м _ т ъ ы т ԓ ь э _ н _ ы н ы _  к г и ӈ _  к ы _ н _ инэ _  н т ы _  ӄ и н _ э р г _ атык _ ԓ ы г и _  н ъ _ э _ к ы е к _ въ _ и _ э ӈ э ӈ ы _ ԓьы _ н _ 
рыгъевнин тъытԓьэн ынкы вусӄымчыку нэнанпэгԓяръовӄэн	 р ы _ гъев _ ни _ н _ т ъ ы т ԓ ь э _ н _ ы н _ кы _ в у с ӄ ы м _ чыку _ н _  э н а _  н _  п э г ԓ я _  р ъ о в _ ӄэн _ 
ԓыгэн икумиӈкыри нинэнтивыӄин	 ԓ ы г э н _ и к у _ миӈ _ кы _ ри _ н _ инэ _  н т _  и в ы _  ӄ и н _ 
ынӄо тъэче кивыткугъиым иквъи итыкым	 ы н ӄ о _ т ъ э ч _ е _ к и в ы _ тку _  г ъ _ и _  ы м _ и к _ въ _ и _ и т ы _ кым _ 
вай ԓыгэн ӈэранъыԓё рэмэԓеквъэ нивӄинэт авынраԓьыт вынэ ынан мытрэркурӈын ӄынвэр рагтыгъэ эӈэӈыԓьын авынраԓьа ыныкагты	 в а й _ ԓ ы г э н _ ӈ э р а _ нъыԓё _ р э м э ԓ е к _ въ _ э _ н _ ив _  ӄ и н э _ т _ а в ы н р а _  ԓ ь ы _ т _ в ы н э _ ы н а н _ м ы т _ рэ _  р к у р _  ӈ ы _ н _ ӄ ы н в э р _ р а _ гты _  г ъ э _ э ӈ э ӈ ы _ ԓьы _ н _ а в ы н р а _  ԓ ь а _ ы н ы _  к а _ гты _ 
нэймитын ԓыгэчьыԓьын раквытчыӈын ынкъам ԓымӈэ мооӄор	 н _  э й м и _ ты _  н _ ԓ ы г э ч ь ы _ ԓьы _ н _ р а к в ы т ч ы _ ӈы _ н _ ы н к ъ а м _ ԓ ы м _ ӈэ _ м о о _  ӄ о р _ 
ынӄоры рэмкын	 ы н ӄ о р ы _ р э м к ы _ н _ 
эраткомгоӈӈой аны таӈэтъо	 э р а _  т к о _  м г о _  ӈ ӈ о _  й _ а н ы _ т а ӈ _  э т ъ о _ 
ӈэвысӄэтӄэй гаԓгэтъыԓыӈоԓен тэкэм ԓюур вай эрама	 ӈ э в ы с ӄ э т _  ӄ э й _ г а _  ԓ г э _  т ъ ы ԓ ы _  ӈ о _  ԓ е н _ т э к _ эм _ ԓ ю у р _ в а й _ э р а м _  а _ 
въигъи наӄам ӄытԓыги ԓюӈынмэԓевэтэ рыннин	 в ъ и г _ ъ _ и _ н а ӄ а м _ ӄ ы т ԓ ы г и _ ԓ ю ӈ ы _  н м э ԓ _  е в э т _  э _ р ы н _ нин _ 
ынӄоым ынӄэн эӈэӈыԓьын	 ы н ӄ о ы м _ ы н ӄ э н _ э ӈ э ӈ ы _ ԓьы _ н _ 
танԓёнръэԓягта гитԓин ԓыгэн таӈӄонпы эвытрыкэ гэнъэтԓин	 т а н ԓ ё н _  р ъ э ԓ я _  г т а _ г _  и т _ ԓин _ ԓ ы г э н _ т а ӈ _  ӄ о н п ы _ э в ы т р ы _  к _ э _ г э _ нъэт _ ԓин _ 
этъым ԓыгэыяагты гаяԓгытԓен ымто амын ӄэгԓынангэт эты эӈэӈыԓьыт ныԓгинъыръыӄинэт с энмэн нивӄин ынанчинит ынӄэн	 э т _ ъым _ ԓ ы г э _  ы я а _ гты _ г а _  я ԓ г ы т _  ԓ е н _ ы м т о _ а м _  ы н _ ӄ э г ԓ ы _ нан _ гэт _ э т ы _ э ӈ э ӈ ы _  ԓ ь ы _  т _ н ы _ ԓги _  н _  ъ ы р ъ ы _  ӄ и н э _ т _ с _ э н м э н _ н _  и в _ ӄин _ ы н а н _  ч и н и т _ ы н ӄ э н _ 
гатваԓен тэԓенъеп энмэн нивӄин ынанчинит эвыр	 г а _  т в а _ ԓен _ т э ԓ е н ъ _ еп _ э н м э н _ н _ ив _ ӄин _ ы н а н _  ч и н и т _ э в ы р _ 
мэӈин ратъыԓыӈоркын	 м э ӈ _ ин _ р а _  т ъ ы ԓ ы _  ӈ о _  р к ы н _ 
ӄэнагтыркынэтык ымыԓьо амӄынъычо	 ӄ _  э н а _  г т ы _  р к ы н э _ тык _ ы м ы ԓ ь о _ а м _  ӄ ы н _ ъычо _ 
нинивӄинэт ымыԓьо гатакэчгыӄайма ӄитгытык ӄываԓёмгытык ыныкит	 н _  и н _ ив _  ӄ и н э _ т _ ы м ы ԓ ь о _ г а _  т а к э ч _  г ы _  ӄ а й м а _ ӄ _  и т г ы _ тык _ ӄ ы _  в а ԓ ё м г ы _ тык _ ы н ы _ кит _ 
ыннэн уйӈэ	 ы н н э н _ у й ӈ э _ 
этэкичгыӄэйкэ ритгъэ ӄоԓ	 э т э к _  и ч г ы _  ӄ э й _  к _  э _ р и т _  г ъ э _ ӄ о ԓ _ 
ынин ройыръыкэн рэвъигъэ эргатык ӄытръугъэт ымыԓьо гэтэкичгэ гитԓинэт ӄоԓетъыԓё ӄутынин	 ы н _  и н _ р о _  й ы р ъ ы _  к э н _ р э в ъ и _ гъ _ э _ э р г _ атык _ ӄ ы т р ъ у _ гъэ _ т _ ы м ы ԓ ь о _ г э _  т э к и ч г _  э _ г _  и т _  ԓ и н э _ т _ ӄ о ԓ е _ тъыԓё _ ӄ у т ы _  н и н _ 
экык тъыԓыӈогъэ эргатык	 э к ы к _ т ъ ы ԓ _ ыӈо _ гъ _ э _ э р г _ атык _ 
йыннэн	 й ы н _  н э н _ 
эӈэӈыԓьын иквъи эӈэӈыԓьэ	 э ӈ э ӈ ы _ ԓьы _ н _ и к _ въ _ и _ э ӈ э ӈ ы _ ԓь _ э _ 
ивнин эргатык ӄытгъи эӈэӈыԓьын	 и в _ ни _ н _ э р г _ атык _ ӄ ы т _ гъ _ и _ э ӈ э ӈ ы _ ԓьы _ н _ 
эвын гъэӄэрэԓин тъытԓьэн	 э в ы н _ г _  ъ э ӄ э р э _ ԓин _ т ъ ы т ԓ ь э _ н _ 
атав иԓьуткугъи авынэԓьоткогты въигъи	 а т а в _ и ԓ ь у т к у _  г ъ _ и _ а в ы н э _  ԓ ь о _ тко _  г т ы _ в ъ и г _ ъ _ и _ 
экык ԓюур	 э к ы к _ ԓ ю у р _ 
ытԓыгын иквъи эӈэӈыԓьэ пынԓёнэнат еп гымнан гымнин иԓьуткукэԓы эйӈэвкэ еп	 ы т ԓ ы г ы _ н _ и к _ въ _ и _ э ӈ э ӈ ы _ ԓь _ э _ п ы н ԓ ё н _ эна _ т _ е п _ г ы м _  н а н _ г ы м _  н и н _ и ԓ ь у т к у _  к э ԓ ы _ э й ӈ э в _  к _ э _ е п _ 
эпкиркэ въигъи ыныкит нъыпкиргъэн	 э п к и р _ к _ э _ в ъ и г _ ъ _ и _ ы н ы _ кит _ н _  ъ ы _  п к и р _  г ъ э _ н _ 
ӄырым нъывъигъэн этынва пынԓёнэн	 ӄ ы р ы м _ н _  ъ ы в ъ и _  г ъ э _ н _ э т ы н в а _ п ы н ԓ ё _  н э н _ 
эӈэӈыԓьэ ивнин этынва пынԓёнэн	 э ӈ э ӈ ы _  ԓ ь _ э _ и в _ ни _ н _ э т ы н в а _ п ы н ԓ ё _  н э н _ 
эӈэӈыԓьын иквъи ыныкит энамынгыкватка ринэнтыӈ нэмэ ӄоԓ	 э ӈ э ӈ ы _ ԓьы _ н _ и к _ въ _ и _ ы н ы _ кит _ э н а _  м ы н _  г ы к в а т к а _ р и н э _  н т ы _  ӈ _ н э м э _ ӄ о ԓ _ 
рэвъигъэ экык	 р э в ъ и _ гъ _ э _ э к ы к _ 
этынва ивнин мынгыкво йыԓнинэт мытԓыӈэн ӄорат	 э т ы н в а _ и в _ ни _ н _ м ы н _  г ы к в _  о _ й ы ԓ _ ни _  н э _ т _ м ы т _  ԓ ы ӈ э н _ ӄ о р а _ т _ 
ӈирэӄ ыттъыт ӈыроӄ	 ӈ и р э ӄ _ ы т т ъ ы _  т _ ӈ ы р о ӄ _ 
игнэԓгыт эӈэӈыԓьын рагтыгъэ нэмэ	 и г н э _  ԓ г ы т _ э ӈ э ӈ ы _ ԓьы _ н _ р а _ гты _ гъэ _ н э м э _ 
ӄоԓ экык тъыԓыӈогъэ нэмэ йыннэн эӈэӈыԓьын нэмэ	 ӄ о ԓ _ э к ы к _ т ъ ы ԓ _  ы ӈ о _ гъ _ э _ н э м э _ й ы н _  н э н _ э ӈ э ӈ ы _ ԓьы _ н _ н э м э _ 
ӄытгъи иԓьуткугъи ынкъам иквъи ӄэнамынгыкватгэ пытӄымыкыӈ мынгыкваннэн эквэтгъи	 ӄ ы т _ гъ _ и _ и ԓ ь у т к у _  г ъ _ и _ ы н к ъ а м _ и к _ въ _ и _ ӄ _  э н а _  м ы н _  г ы к в а т _  г _ э _ п ы т ӄ ы _  м ы к ы _  ӈ _ м ы н _  г ы к в а н _  н э _  н _ э к в э т _  г ъ _ и _ 
эӈэӈыԓьын ԓыгэн эквэтгъи въигъи	 э ӈ э ӈ ы _ ԓьы _ н _ ԓ ы г э н _ э к в э т _  г ъ _ и _ в ъ и г _ ъ _ и _ 
тъытԓьэн ытԓыгын	 т ъ ы т ԓ ь э _ н _ ы т ԓ ы г ы _ н _ 
иквъи эккэт	 и к _ въ _ и _ э к к э _ т _ 
тэԓпыркыт ынраӄ ӈээкык тъыԓыӈогъэ	 т э ԓ п ы _  р к ы _ т _ ы н р а _ ӄ _ ӈ э э _ кык _ т ъ ы ԓ _  ы ӈ о _ гъ _ э _ 
нэмэ	 н э м э _ 
эӈэӈыԓьын йыннэн	 э ӈ э ӈ ы _ ԓьы _ н _ й ы н _ нэн _ 
ивнин эӈэӈыԓьын	 и в _ ни _ н _ э ӈ э ӈ ы _  ԓ ь ы _ н _ 
нэмэ ӄытгъи нэмэ иԓьуткугъи	 н э м э _ ӄ ы т _ гъ _ и _ н э м э _ и ԓ ь у т к у _ гъ _ и _ 
иквъи ытԓыгэ	 и к _ въ _ и _ ы т ԓ ы г _ э _ 
ивнин этынва	 и в _ ни _ н _ э т ы н в а _ 
ивнин	 и в _ ни _ н _ 
эӈэӈыԓьын иквъи анӈэнайпыгъэ эӈэӈыԓьын	 э ӈ э ӈ ы _ ԓьы _ н _ и к _ въ _ и _ а н ӈ э н а _ йпы _  г ъ _ э _ э ӈ э ӈ ы _  ԓ ь ы _ н _ 
эквэтгъи ԓёгмынгыквата ымыԓьо ԓюӈвъитэ	 э к в э т _ гъ _ и _ ԓ ё г м ы н _  г ы к в а _  т а _ ы м ы ԓ ь о _ ԓ ю ӈ _  в ъ и т э _ 
итгъэт ынӄоры эӈэӈыԓьын эӄу нэтчын	 и т г _ ъэ _ т _ ы н ӄ о р ы _ э ӈ э ӈ ы _ ԓьы _ н _ э ӄ _ у _ н э _  т ч ы н _ 
ымыԓьо нивӄинэт	 ы м ы ԓ ь о _ н _  и в _  ӄ и н э _ т _ 
ымыԓьорык эӄу нэтчын ынӈин	 ы м ы ԓ ь о _  р ы _ к _ э ӄ _  у _ н э _  т ч ы н _ ы н ӈ и н _ 
тэԓенъепкин эӈэӈыԓьыт нырагаймычьавӈыӄэнат с ыԓвыԓю эԓек нынмыткоӄэн ипэ	 т э ԓ е н _ ъеп _ кин _ э ӈ э ӈ ы _ ԓьы _  т _ н ы _  р а _  г _  а й м ы _  ч ь а в _  ӈ ы _  ӄ э н а _ т _ с _ ы ԓ в ы ԓ _ ю _ э ԓ е _ к _ н ы _  н м ы _  т к о _ ӄэн _ и п э _ 
ӄоԓ итгъэт увиԓьэтгъэт ыԓвытъуԓе	 ӄ о ԓ _ и т г _ ъэ _ т _ у в и ԓ ь э т _  г ъ э _ т _ ы ԓ в ы _  т ъ у _  ԓ е _ 
ԓыгэн ынкы напэԓянат уӄӄэмчыку эръэйыръын ынкъам	 ԓ ы г э н _ ы н _ кы _ н а _ пэԓя _  н а _ т _ у ӄ ӄ э м _  ч ы к у _ э р ъ э _  й ы р ъ ы _ н _ ы н к ъ а м _ 
ыпаԓгын эвын	 ы п а ԓ г ы _ н _ э в ы н _ 
етгъэт рэӄэ	 е т _  г ъ э _ т _ р э ӄ _ э _ 
ыпаԓгын гаткоӈӈоԓен ымы эръэт гэтъэттывиԓинэт ӄоԓ	 ы п а ԓ г ы _ н _ г а _  т к о _ ӈӈо _ ԓен _ ы м ы _ э р ъ э _ т _ г э _  т ъ э т _ т _  ы в и ԓ и н э _ т _ ӄ о ԓ _ 
ынээԓьын иквъи кита	 ы н э э ԓ ь ы _ н _ и к _ въ _ и _ к и т а _ 
ӄоԓ чайвыткоӈӈок ныпэԓятын	 ӄ о ԓ _ ч а й в ы _ тко _ ӈӈо _  к _ н ы _  п э ԓ я _  т ы _  н _ 
атав гынрыру мыныԓгын	 а т а в _ г ы н р ы р у _ м ы н ы _ ԓгы _  н _ 
ръэнут	 р ъ э н у т _ 
рэркын мури амӄынӈыток	 р э _  р к ы н _ м у р и _ а м _  ӄ ы н ӈ ы т о _  к _ 
ымыԓьо ыԓвэгиԓигъэт ӈыраӄав пэԓятгъэ ынанӈэнчьан	 ы м ы ԓ ь о _ ы ԓ в э _  г и ԓ и _  г ъ э _  т _ ӈ ы р а ӄ а в _ п э ԓ я _  т _ гъэ _ ы н а н ӈ э н _ чьа _ н _ 
пэԓятыйгот нэнтын тытԓык атчыгъэ ынӄэн оравэтԓьан	 п э ԓ я _  т ы _  й г о т _ н э _ нты _  н _ т ы т ԓ ы _ к _ а т ч ы _ гъэ _ ы н ӄ э н _ о р а в э т ԓ ь а _ н _ 
эвын амгынотъыԓё нынъэԓӄин	 э в ы н _ а м _  г ы н о т _ ъыԓё _ н ы _  н ъ э ԓ _ ӄин _ 
ԓюур	 ԓ ю у р _ 
ранмэйпык	 р а _  н _  м э й п ы _  к _ 
вииԓетгъи ԓыгэн ынкы	 в и и ԓ _  е т _  г ъ _ и _ ԓ ы г э н _ ы н _ кы _ 
эӄуԓикэ нъатчаӄэн эмӄэԓеԓвынэ нивӄин вэчьым	 э ӄ у ԓ и _ к _ э _ н _  ъ а т ч а _ ӄэн _ э м _ ӄэԓеԓвы _ н _ э _ н _ ив _ ӄин _ в э ч _ ьым _ 
ӈотӄэн ныетӄин эвын	 ӈ о т _  ӄ э н _ н ы _  е т _ ӄин _ э в ы н _ 
рэгъи	 р э _  г ъ _ и _ 
таӈамъыттъымъеквэйӈын ӈэвъэнйыръын авэтываӄ ӄԓявыԓя пэнрынэн аны энмэн гэтэйкэвԓинэт ԓюур амъыттъымъеквэйӈа	 т а ӈ _ ам _  ъ ы т т _ ъым _  ъ _  е к в э _  й ӈ ы _ н _ ӈ э в ъ э н _  й ы р ъ ы _ н _ а в э т ы _ ваӄ _ ӄ ԓ я в ы ԓ _  я _ п э н р ы _  н э н _ а н ы _ э н м э н _ г э _  т э й к э в _  ԓ и н э _ т _ ԓ ю у р _ а м _  ъ ы т т _ ъым _  ъ _  е к в э _  й ӈ а _ 
авынтайкавэты ивнин йъарат	 а в ы н _  т а й к а в _  э т ы _ и в _ ни _ н _ й ъ а _ ра _ т _ 
амӄԓявыԓторэ варкынэтык	 а м _  ӄ ԓ я в ы _  ԓ т о _  р э _ в а _  р к ы н э _  т ы к _ 
яйвачгыргыторэ	 я й в а ч _ гыргы _  т о р э _ 
вэԓерым	 в э ԓ е _  р ы м _ 
ваӈэԓьо митыркын аны энмэн оравэтԓьаӄай	 в а ӈ э _  ԓ ь о _ м и т ы _  р к ы н _ а н ы _ э н м э н _ о р а в э т ԓ ь а _  ӄ а й _ 
гувиԓьэтԓин амъыттъымъеквэйӈын тыргэтъюунин гыргоча	 г _  у в и _  ԓ ь э т _ ԓин _ а м _  ъ ы т т _ ъым _  ъ _  е к в э _  й ӈ ы _ н _ т ы р г э _  т ъ ю у _  н и _ н _ г ы р г о ч а _ 
ыпаԓга	 ы п а ԓ г а _ 
энайпаннэн ынӄо иквъи	 э н а _  й п а н _ нэ _  н _ ы н ӄ о _ и к _ въ _ и _ 
ӈэвъэнйыръын тагам ораӈанӄо ӄыԓиги ԓыганԓыгъэ	 ӈ э в ъ э н _  й ы р ъ ы _ н _ т а г а м _ о р а _  ӈ а н _  ӄ о _ ӄ ы _  ԓ и г и _ ԓ ы г а н ԓ ы _  г ъ э _ 
оравэтԓьан 	 о р а в э т ԓ ь а _ н _ _ 
ӈэвъэнйыръэ ивнин эвын	 ӈ э в ъ э н _  й ы р ъ _ э _ и в _ ни _ н _ э в ы н _ 
гитэнин 	 г и _  т э _  н и _ н _ _ 
йыӄӄайъым ӈэвъэнйыръын ынкы	 й ы ӄ _  ӄ а й _  ъ ы м _ ӈ э в ъ э н _ йыръы _ н _ ы н _ кы _ 
гитэнин оравэтԓьата	 г и _  т э _  н и _ н _ о р а в э т ԓ ь а _  т а _ 
ивнин матанэн еп чейвыткуԓьыт	 и в _ ни _ н _ м а т а _  н э _ н _ е п _ ч е й в ы _ тку _  ԓ ь ы _  т _ 
эпкиркэ увиԓьэтгъи ӈэвъэнйыръын	 э п к и р _ к _ э _ у в и ԓ ь э т _ гъ _ и _ ӈ э в ъ э н _  й ы р ъ ы _ н _ 
ԓюур пыкиргъэт ӈыроргарэ ӈытогъэ	 ԓ ю у р _ п ы к и р _  г ъ э _ т _ ӈ ы р о р г а _ рэ _ ӈ ы т о _ гъ _ э _ 
ӈэвъэнйыръын ԓыгэкоргаквъат ынинэԓьыт рэгъэт чоттагнэты	 ӈ э в ъ э н _  й ы р ъ ы _ н _ ԓ ы г э _  к о р г а к _  в ъ а _  т _ ы н и н э _ ԓьы _  т _ р э _  г ъ э _ т _ ч о т _  т а г н _ эты _ 
ынанынпычьа матанэн	 ы н а н ы н п ы _ чь _ а _ м а т а _  н э _ н _ 
ӄоԓ анӈэнайпыгъэ	 ӄ о ԓ _ а н ӈ э н а _  й п ы _ гъ _ э _ 
инэԓьуԓьын чейвыткугъэт	 и н э _  ԓ ь у _  ԓ ь ы _ н _ ч е й в ы _ тку _  г ъ э _ т _ 
нэмэ ӈыроргарэ	 н э м э _ ӈ ы р о р г а _ рэ _ 
ӄоԓ пэԓятгъэ ёрочыко нъэптыӄин ӈэвъэнйыръын	 ӄ о ԓ _ п э ԓ я _  т _ гъэ _ ё р о _  ч ы к о _ н _  ъ э п _ ты _  ӄ и н _ ӈ э в ъ э н _  й ы р ъ ы _ н _ 
ӄԓявыԓ рэсӄиквъи	 ӄ ԓ я в ы ԓ _ р э с _ ӄ _ ик _ въ _ и _ 
ивнин вынэ	 и в _ ни _ н _ в ы н э _ 
ӄырым эԓгыӄай эйминнин	 ӄ ы р ы м _ э ԓ г ы _  ӄ а й _ э й м и н _ ни _ н _ 
чит выԓгыпыркынэн ԓюур	 ч и т _ в ы ԓ г ы _ пыркынэ _ н _ ԓ ю у р _ 
